Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
3.12493	HARQ FD Txed	312	4	0	1	4	0	15	2
3.12493	HARQ FD Txed	312	4	0	1	28	0	15	2
3.22607	DL DCI Rxed	322	6	0	1	10	0	15	2
3.22893	HARQ FD Txed	322	8	0	1	10	0	15	2
3.24807	DL DCI Rxed	324	8	0	1	9	0	15	2
3.25093	HARQ FD Txed	325	0	0	1	9	0	15	2
3.25307	DL DCI Rxed	325	3	0	1	28	0	15	2
3.25593	HARQ FD Txed	325	5	0	1	28	0	15	2
3.25807	DL DCI Rxed	325	8	0	1	28	0	15	2
3.26093	HARQ FD Txed	326	0	0	1	28	0	15	2
3.28007	DL DCI Rxed	328	0	0	1	9	0	15	2
3.28293	HARQ FD Txed	328	2	0	1	9	0	15	2
3.28507	DL DCI Rxed	328	5	0	1	9	0	15	2
3.28793	HARQ FD Txed	328	7	0	1	9	0	15	2
3.29007	DL DCI Rxed	329	0	0	1	9	0	15	2
3.29293	HARQ FD Txed	329	2	0	1	9	0	15	2
3.29507	DL DCI Rxed	329	5	0	1	9	0	15	2
3.29793	HARQ FD Txed	329	7	0	1	9	0	15	2
3.41707	DL DCI Rxed	341	7	0	1	27	0	15	2
3.41993	HARQ FD Txed	341	9	0	1	27	0	15	2
3.42207	DL DCI Rxed	342	2	0	1	27	0	15	2
3.42493	HARQ FD Txed	342	4	0	1	27	0	15	2
3.42707	DL DCI Rxed	342	7	0	1	27	0	15	2
3.42993	HARQ FD Txed	342	9	0	1	27	0	15	2
3.43207	DL DCI Rxed	343	2	0	1	27	0	15	2
3.43493	HARQ FD Txed	343	4	0	1	27	0	15	2
3.48007	DL DCI Rxed	348	0	0	1	9	0	15	2
3.48293	HARQ FD Txed	348	2	0	1	9	0	15	2
3.61207	DL DCI Rxed	361	2	0	1	9	0	15	2
3.61493	HARQ FD Txed	361	4	0	1	9	0	15	2
3.62707	DL DCI Rxed	362	7	0	1	26	0	15	2
3.62993	HARQ FD Txed	362	9	0	1	26	0	15	2
3.64307	DL DCI Rxed	364	3	0	1	9	0	15	2
3.64593	HARQ FD Txed	364	5	0	1	9	0	15	2
3.67507	DL DCI Rxed	367	5	0	1	9	0	15	2
3.67793	HARQ FD Txed	367	7	0	1	9	0	15	2
4.34307	DL DCI Rxed	434	3	0	1	7	0	15	2
4.34593	HARQ FD Txed	434	5	0	1	7	0	15	2
